frame,timestamp_s,motion_score,changed_pct,motion_level
245,8.167,4.940,6.010,Low
246,8.200,6.445,8.207,Medium
247,8.233,4.936,6.295,Low
248,8.267,5.060,6.441,Medium
249,8.300,6.401,8.394,Medium
250,8.333,4.891,6.342,Low
251,8.367,5.215,6.389,Medium
252,8.400,6.471,8.611,Medium
253,8.433,5.186,6.763,Medium
254,8.467,5.385,7.035,Medium
255,8.500,7.062,9.478,Medium
256,8.533,5.622,7.389,Medium
257,8.567,5.860,7.628,Medium
258,8.600,7.514,9.978,Medium
259,8.633,5.814,7.572,Medium
260,8.667,5.972,7.708,Medium
261,8.700,7.829,10.338,Medium
262,8.733,6.322,8.244,Medium
263,8.767,6.675,8.587,Medium
264,8.800,8.696,11.382,Medium
265,8.833,7.044,9.112,Medium
266,8.867,7.384,9.411,Medium
267,8.900,9.286,11.982,Medium
268,8.933,7.446,9.618,Medium
269,8.967,7.388,9.614,Medium
270,9.000,9.386,12.259,Medium
271,9.033,7.344,9.534,Medium
272,9.067,7.580,9.749,Medium
273,9.100,9.437,12.403,Medium
274,9.133,7.614,9.794,Medium
275,9.167,7.511,9.637,Medium
276,9.200,9.417,12.233,Medium
277,9.233,7.335,9.355,Medium
278,9.267,7.577,9.649,Medium
279,9.300,9.524,12.530,Medium
280,9.333,7.940,10.124,Medium
281,9.367,8.259,10.476,Medium
282,9.400,10.491,13.627,Medium
283,9.433,8.584,10.785,Medium
284,9.467,8.544,10.815,Medium
285,9.500,10.818,13.894,Medium
286,9.533,8.478,10.633,Medium
287,9.567,8.605,10.615,Medium
288,9.600,10.609,13.688,Medium
289,9.633,8.453,10.638,Medium
290,9.667,8.371,10.648,Medium
291,9.700,10.400,13.739,Medium
292,9.733,8.073,10.133,Medium
293,9.767,8.094,9.983,Medium
294,9.800,9.718,12.582,Medium
295,9.833,7.682,9.380,Medium
296,9.867,7.546,9.167,Medium
297,9.900,9.567,12.099,Medium
298,9.933,7.593,9.176,Medium
299,9.967,7.442,9.046,Medium
300,10.000,9.415,11.968,Medium
301,10.033,7.452,8.883,Medium
302,10.067,7.560,8.906,Medium
303,10.100,9.333,11.771,Medium
304,10.133,7.477,8.918,Medium
305,10.167,7.349,8.757,Medium
306,10.200,9.071,11.440,Medium
307,10.233,6.864,8.222,Medium
308,10.267,6.941,8.072,Medium
309,10.300,8.203,10.485,Medium
310,10.333,6.285,7.296,Medium
311,10.367,5.946,7.026,Medium
312,10.400,7.342,9.335,Medium
313,10.433,5.503,6.548,Medium
314,10.467,6.061,6.672,Medium
315,10.500,7.095,8.991,Medium
316,10.533,5.635,6.636,Medium
317,10.567,5.599,6.629,Medium
318,10.600,6.976,8.779,Medium
319,10.633,5.460,6.544,Medium
320,10.667,5.750,6.667,Medium
321,10.700,7.381,9.238,Medium
322,10.733,6.386,7.618,Medium
323,10.767,6.469,7.916,Medium
324,10.800,8.702,10.834,Medium
325,10.833,6.794,8.453,Medium
326,10.867,7.026,8.554,Medium
327,10.900,8.720,11.028,Medium
328,10.933,7.046,8.664,Medium
329,10.967,7.263,9.083,Medium
330,11.000,9.625,12.388,Medium
331,11.033,7.803,10.276,Medium
332,11.067,8.103,10.556,Medium
333,11.100,10.227,13.548,Medium
334,11.133,8.226,10.812,Medium
335,11.167,8.222,10.780,Medium
336,11.200,10.366,13.498,Medium
337,11.233,8.160,10.474,Medium
338,11.267,8.089,10.337,Medium
339,11.300,10.373,13.461,Medium
340,11.333,8.227,10.431,Medium
341,11.367,8.398,10.459,Medium
342,11.400,10.472,13.273,Medium
343,11.433,8.293,10.404,Medium
344,11.467,8.201,10.171,Medium
345,11.500,10.376,13.093,Medium
346,11.533,8.093,10.189,Medium
347,11.567,8.154,10.211,Medium
348,11.600,10.205,13.200,Medium
349,11.633,8.249,10.423,Medium
350,11.667,8.303,10.514,Medium
351,11.700,10.866,14.027,Medium
352,11.733,8.769,11.057,Medium
353,11.767,8.546,10.830,Medium
354,11.800,10.677,13.884,Medium
355,11.833,8.324,10.583,Medium
356,11.867,8.811,10.974,Medium
357,11.900,11.445,14.673,Medium
358,11.933,9.069,11.546,Medium
359,11.967,9.222,11.676,Medium
360,12.000,11.810,14.984,Medium
361,12.033,9.193,11.705,Medium
362,12.067,9.480,11.919,Medium
363,12.100,11.714,14.949,Medium
364,12.133,9.405,11.987,Medium
365,12.167,9.771,12.281,Medium
366,12.200,12.509,16.082,Medium
367,12.233,10.268,13.164,Medium
368,12.267,10.420,13.418,Medium
369,12.300,13.312,17.241,Medium
370,12.333,10.625,13.984,Medium
371,12.367,10.725,14.013,Medium
372,12.400,13.063,16.916,Medium
373,12.433,10.260,13.368,Medium
374,12.467,10.038,13.091,Medium
375,12.500,12.629,16.560,Medium
376,12.533,9.937,13.013,Medium
377,12.567,10.140,13.216,Medium
378,12.600,12.875,16.858,Medium
379,12.633,10.312,13.471,Medium
380,12.667,10.303,13.450,Medium
381,12.700,12.860,16.677,Medium
382,12.733,10.016,12.986,Medium
383,12.767,10.097,13.056,Medium
384,12.800,12.995,17.038,Medium
385,12.833,9.993,13.110,Medium
386,12.867,9.973,13.022,Medium
387,12.900,12.596,16.608,Medium
388,12.933,9.817,12.809,Medium
389,12.967,9.952,12.718,Medium
390,13.000,11.896,15.746,Medium
391,13.033,9.338,12.160,Medium
392,13.067,9.408,12.107,Medium
393,13.100,11.484,15.247,Medium
394,13.133,9.066,11.715,Medium
395,13.167,8.886,11.532,Medium
396,13.200,11.122,14.658,Medium
