frame,timestamp_s,motion_score,changed_pct,motion_level
259,10.792,15.587,19.998,High
260,10.833,23.730,29.589,High
261,10.875,17.504,21.690,High
262,10.917,24.944,32.190,High
263,10.958,23.888,31.753,High
264,11.000,23.790,31.455,High
265,11.042,29.891,39.142,High
266,11.083,34.753,38.138,High
267,11.125,38.420,43.056,High
268,11.167,26.276,32.458,High
269,11.208,26.673,35.300,High
270,11.250,25.190,32.684,High
271,11.292,29.336,39.453,High
272,11.333,26.512,35.258,High
273,11.375,27.481,36.949,High
274,11.417,32.611,41.378,High
275,11.458,29.869,36.250,High
276,11.500,41.086,53.058,High
277,11.542,48.120,57.899,High
278,11.583,50.203,62.789,High
279,11.625,41.361,54.692,High
280,11.667,46.283,58.409,High
281,11.708,40.441,50.486,High
282,11.750,40.812,54.874,High
283,11.792,52.363,65.790,High
284,11.833,50.406,65.520,High
285,11.875,54.705,68.250,High
286,11.917,44.956,54.287,High
287,11.958,58.145,64.152,High
288,12.000,48.417,56.213,High
289,12.042,40.644,50.284,High
290,12.083,65.937,65.618,High
291,12.125,58.536,67.645,High
292,12.167,51.492,60.682,High
293,12.208,64.414,67.744,High
294,12.250,59.010,65.396,High
295,12.292,38.614,52.394,High
296,12.333,59.225,68.217,High
297,12.375,42.484,54.399,High
298,12.417,55.571,65.831,High
299,12.458,41.744,57.837,High
300,12.500,53.427,67.179,High
301,12.542,46.078,59.321,High
302,12.583,58.145,63.446,High
303,12.625,37.798,47.682,High
304,12.667,38.489,51.618,High
305,12.708,42.938,52.093,High
306,12.750,39.526,54.357,High
307,12.792,35.375,50.734,High
308,12.833,34.679,45.569,High
309,12.875,30.940,39.987,High
310,12.917,34.588,46.040,High
311,12.958,41.055,52.177,High
312,13.000,38.138,49.958,High
313,13.042,33.543,45.602,High
314,13.083,32.536,42.958,High
315,13.125,35.048,46.583,High
316,13.167,31.987,44.436,High
317,13.208,34.195,45.572,High
318,13.250,32.255,44.992,High
319,13.292,30.399,40.586,High
320,13.333,35.560,49.482,High
321,13.375,33.471,46.331,High
322,13.417,29.085,40.057,High
323,13.458,34.331,45.064,High
324,13.500,33.561,44.595,High
325,13.542,36.759,45.623,High
326,13.583,36.540,47.313,High
327,13.625,34.122,45.953,High
328,13.667,31.378,44.679,High
329,13.708,29.475,38.405,High
330,13.750,34.252,43.560,High
331,13.792,32.976,46.449,High
332,13.833,31.088,42.054,High
333,13.875,36.321,46.936,High
334,13.917,35.577,47.438,High
335,13.958,34.349,46.474,High
336,14.000,35.431,46.088,High
337,14.042,34.273,46.233,High
338,14.083,67.016,70.901,High
339,14.125,18.292,21.028,High
340,14.167,21.418,24.125,High
341,14.208,17.678,21.823,High
342,14.250,17.550,23.241,High
343,14.292,16.717,21.973,High
344,14.333,14.005,19.924,Medium
345,14.375,15.677,19.285,High
346,14.417,17.956,21.742,High
347,14.458,16.117,21.552,High
348,14.500,16.646,22.673,High
349,14.542,17.868,23.963,High
350,14.583,22.093,23.810,High
351,14.625,23.588,25.786,High
352,14.667,21.356,24.163,High
353,14.708,18.149,21.164,High
354,14.750,18.399,22.675,High
355,14.792,17.875,22.941,High
356,14.833,20.203,24.345,High
357,14.875,21.296,26.981,High
358,14.917,22.400,24.432,High
359,14.958,22.067,24.445,High
